file,dt,tz,model,lat,lon,alt,dir,w,h,focal,eq35,zoom,lens
IMG_3527.HEIC,2026:09:21 10:09:54,-04:00,iPhone 17,40.21456388888889,-74.01086388888889,4.428127319970304,344.28230277185503,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3528.HEIC,2026:09:21 10:09:55,-04:00,iPhone 17,40.21456388888889,-74.01086388888889,4.428127319970304,289.8109284332689,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3529.HEIC,2026:09:21 10:10:34,-04:00,iPhone 17,40.21471666666667,-74.01018611111111,4.201808931599774,23.583190927450676,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3530.HEIC,2026:09:21 10:10:48,-04:00,iPhone 17,40.21474722222222,-74.00998055555556,4.127590379670247,16.5032958984375,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3531.HEIC,2026:09:21 10:11:00,-04:00,iPhone 17,40.21482777777778,-74.00983333333333,7.008300069695242,327.10441582336705,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3532.HEIC,2026:09:21 10:11:10,-04:00,iPhone 17,40.214911111111114,-74.00978888888889,7.882187854541112,289.68856817318647,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3533.HEIC,2026:09:21 10:11:13,-04:00,iPhone 17,40.214908333333334,-74.00978888888889,6.879762962962963,60.57827759692216,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3534.HEIC,2026:09:21 10:11:19,-04:00,iPhone 17,40.21493055555556,-74.00980277777778,7.577666353285282,64.29251101321586,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3535.HEIC,2026:09:21 10:11:22,-04:00,iPhone 17,40.21492777777778,-74.00980277777778,7.68191596156604,8.94900512331705,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3536.HEIC,2026:09:21 10:11:23,-04:00,iPhone 17,40.21492777777778,-74.00980277777778,7.68191596156604,40.018524142119645,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3537.HEIC,2026:09:21 10:11:24,-04:00,iPhone 17,40.21492777777778,-74.00980277777778,7.68191596156604,59.101226804759264,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3538.HEIC,2026:09:21 10:11:28,-04:00,iPhone 17,40.21492777777778,-74.00979722222222,7.890980381404148,115.47129820429791,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3539.HEIC,2026:09:21 10:11:30,-04:00,iPhone 17,40.21493055555556,-74.00980277777778,8.572786362521462,80.01428219650333,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3540.HEIC,2026:09:21 10:11:37,-04:00,iPhone 17,40.21494166666667,-74.0098111111111,10.327934978928356,53.671905514740075,3024,4032,5.960000038146973,52,1.001,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3541.HEIC,2026:09:21 10:11:48,-04:00,iPhone 17,40.21494722222222,-74.0098111111111,9.427307959852927,48.21393588601959,3024,4032,5.960000038146973,158,3.055,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3542.HEIC,2026:09:21 10:12:19,-04:00,iPhone 17,40.215136111111114,-74.00986388888889,8.763056692718026,49.899257688229056,3024,4032,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3543.HEIC,2026:09:21 10:12:20,-04:00,iPhone 17,40.215133333333334,-74.00985833333333,9.004761628244585,67.76316071620028,3024,4032,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3544.HEIC,2026:09:21 10:12:22,-04:00,iPhone 17,40.215125,-74.00985833333333,8.79867166212534,86.01097867001255,3024,4032,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3545.HEIC,2026:09:21 10:12:24,-04:00,iPhone 17,40.215125,-74.00985833333333,8.625303479902886,113.7145156099131,3024,4032,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
